transaction_id,timestamp,processed_time,sender_account,receiver_account,amount,transaction_type,location,is_fraud,fraud_probability
6652b3de-f152-48a1-9354-3745e42bd492,2025-12-06 16:24:03,2025-12-06 16:24:03,AC358834,AC817338,16075.96,PURCHASE,Pune,0,0.0749
66543216-c310-42f4-8a52-a0941158d045,2025-12-06 16:24:03,2025-12-06 16:24:03,AC835919,AC953799,5476.97,NEFT,Andra Pradesh,0,0.2754
2d3ada57-3c9d-4e82-b82c-7f6322e2ae71,2025-12-06 16:48:30,2025-12-06 16:48:30,AC752964,AC942144,1570.67,IMPS,Hyderabad,1,0.9144
268a989b-3a7f-426c-bf31-1a0ebdb6792a,2025-12-06 16:48:30,2025-12-06 16:48:30,AC913147,AC702150,11649.37,UPI,Andra Pradesh,0,0.143
f794e738-d001-4b23-a5d0-dccfaa7ac6bb,2025-12-06 16:48:31,2025-12-06 16:48:31,AC832224,AC966564,17174.22,PURCHASE,Pune,0,0.0945
63ffeec3-29e0-427b-b29a-93cc27838a64,2025-12-06 16:48:33,2025-12-06 16:48:33,AC490150,AC774020,1895.13,UPI,Mumbai,1,0.9261
77bacbb7-e751-497d-80ef-4fca72bdf97d,2025-12-06 16:48:35,2025-12-06 16:48:35,AC120527,AC114112,1551.34,WITHDRAWAL,Chennai,0,0.1107
492518f5-86e4-49e4-92f5-dd3d472c3558,2025-12-06 16:48:35,2025-12-06 16:48:35,AC583556,AC103675,4207.44,PURCHASE,Ahmedabad,0,0.2685
f5d61d16-2e74-42c5-8c0b-2bc3fcddebf2,2025-12-06 16:48:35,2025-12-06 16:48:35,AC825205,AC746916,17643.58,DEPOSIT,Ahmedabad,0,0.1235
542f8381-68d7-443f-b2f2-f691906736e9,2025-12-06 16:48:35,2025-12-06 16:48:35,AC669423,AC178473,13135.31,RTGS,Bangalore,0,0.2369
9aed74a8-c9aa-4f40-b9ba-ae380023974c,2025-12-06 16:48:35,2025-12-06 16:48:35,AC770624,AC750679,979.97,UPI,Delhi,0,0.2972
5fd54976-02ae-49ea-b90b-a9642c4dcbaa,2025-12-06 16:48:37,2025-12-06 16:48:37,AC169613,AC113933,2813.29,WITHDRAWAL,Pune,0,0.2392
6f498a9e-9bc8-40e6-9031-87e37edf1f18,2025-12-06 16:48:37,2025-12-06 16:48:37,AC679867,AC364919,3166.71,NEFT,Bangalore,0,0.1833
5ce7ad7f-b599-41ba-b41d-cbef36c5ccd3,2025-12-06 16:48:37,2025-12-06 16:48:37,AC374310,AC395056,12411.52,PURCHASE,Hyderabad,1,0.8289
05fb7371-afa6-41f8-9f23-9bc94da618de,2025-12-06 16:48:38,2025-12-06 16:48:38,AC826995,AC359390,9617.93,DEPOSIT,Delhi,0,0.1635
6b6cd0ec-a650-478a-a832-f86908461693,2025-12-06 16:48:38,2025-12-06 16:48:38,AC323749,AC424966,15147.72,IMPS,Delhi,0,0.0412
68f5d507-77fd-47b2-a386-741ae128d24c,2025-12-06 16:48:38,2025-12-06 16:48:38,AC185035,AC207386,18095.21,TRANSFER,Pune,0,0.0921
422a1bb3-1abe-4534-8e3b-f0e69ebed673,2025-12-06 16:48:40,2025-12-06 16:48:40,AC103992,AC293434,3691.76,WITHDRAWAL,Chennai,0,0.1308
a95170fe-3e21-4ef8-acf8-66b60e165301,2025-12-06 16:48:40,2025-12-06 16:48:40,AC794017,AC726431,16004.61,RTGS,Kolkata,0,0.1789
